"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 04:35:57.224,317.292,0.000,2608.173455
14 Sep 2023 04:36:57.000,318.361,3.944,2206.151675
14 Sep 2023 04:37:57.000,319.841,8.847,1805.478908
14 Sep 2023 04:38:57.000,322.119,15.469,1412.458181
14 Sep 2023 04:39:57.000,326.302,25.586,1038.370946
14 Sep 2023 04:40:57.000,337.034,43.437,716.333078
14 Sep 2023 04:41:57.000,32.825,67.743,549.745450
14 Sep 2023 04:42:57.000,107.105,48.076,668.185492
14 Sep 2023 04:43:57.000,120.745,28.078,972.338566
14 Sep 2023 04:44:57.000,125.538,16.933,1340.608342
14 Sep 2023 04:45:57.000,128.005,9.835,1731.615693
14 Sep 2023 04:46:57.000,129.536,4.683,2131.773299
14 Sep 2023 04:47:57.000,130.598,0.581,2535.535687
14 Sep 2023 04:48:06.435,130.737,0.000,2599.153745
14 Sep 2023 06:15:14.167,290.095,0.000,2608.329396
14 Sep 2023 06:16:14.000,283.343,2.907,2304.031822
14 Sep 2023 06:17:14.000,274.570,5.834,2037.549999
14 Sep 2023 06:18:14.000,263.334,8.499,1827.985007
14 Sep 2023 06:19:14.000,249.621,10.376,1697.420325
14 Sep 2023 06:20:14.000,234.412,10.860,1664.989640
14 Sep 2023 06:21:14.000,219.583,9.751,1736.200442
14 Sep 2023 06:22:14.000,206.755,7.473,1899.045908
14 Sep 2023 06:23:14.000,196.474,4.645,2131.951642
14 Sep 2023 06:24:14.000,188.486,1.695,2413.825002
14 Sep 2023 06:24:49.043,184.679,-0.000,2594.436187
14 Sep 2023 19:57:13.138,202.468,0.000,2552.980133
14 Sep 2023 19:58:13.000,199.238,3.829,2165.094503
14 Sep 2023 19:59:13.000,194.528,8.451,1787.564634
14 Sep 2023 20:00:13.000,187.138,14.288,1432.432288
14 Sep 2023 20:01:13.000,174.474,21.770,1123.334798
14 Sep 2023 20:02:13.000,151.735,29.752,910.374620
14 Sep 2023 20:03:13.000,118.524,31.886,868.569868
14 Sep 2023 20:04:13.000,90.499,25.427,1019.377111
14 Sep 2023 20:05:13.000,74.299,17.433,1296.835710
14 Sep 2023 20:06:13.000,65.170,10.969,1636.988067
14 Sep 2023 20:07:13.000,59.590,5.917,2007.199034
14 Sep 2023 20:08:13.000,55.901,1.803,2392.396638
14 Sep 2023 20:08:42.784,54.508,0.000,2586.710244
14 Sep 2023 21:35:45.122,252.515,0.000,2565.421080
14 Sep 2023 21:36:45.000,256.800,3.654,2193.569925
14 Sep 2023 21:37:45.000,262.808,7.932,1837.112551
14 Sep 2023 21:38:45.000,271.701,13.027,1510.124010
14 Sep 2023 21:39:45.000,285.511,18.860,1237.847043
14 Sep 2023 21:40:45.000,306.591,23.975,1064.414185
14 Sep 2023 21:41:45.000,333.029,24.847,1041.065560
14 Sep 2023 21:42:45.000,356.210,20.649,1176.678906
14 Sep 2023 21:43:45.000,11.919,14.835,1426.049029
14 Sep 2023 21:44:45.000,21.992,9.534,1740.088695
14 Sep 2023 21:45:45.000,28.712,5.070,2088.785562
14 Sep 2023 21:46:45.000,33.464,1.276,2456.252940
14 Sep 2023 21:47:07.222,34.889,-0.000,2595.259145
14 Sep 2023 23:17:00.082,300.331,0.000,2584.330337
14 Sep 2023 23:18:00.000,308.663,2.235,2349.793398
14 Sep 2023 23:19:00.000,318.624,4.181,2165.260395
14 Sep 2023 23:20:00.000,330.100,5.563,2045.466415
14 Sep 2023 23:21:00.000,342.544,6.100,2002.465040
14 Sep 2023 23:22:00.000,355.015,5.661,2041.189019
