"Time (UTCG)","Xmtr Power1 (dBW)","Xmtr Gain1 (dB)","EIRP1 (dBW)","Prop Loss1 (dB)","Rcvd. Frequency1 (GHz)","Rcvd. Iso. Power1 (dBW)","Flux Density1 (dBW/m^2)","g/T1 (dB/K)","C/No1 (dB*Hz)","Bandwidth1 (kHz)","C/N1 (dB)","Eb/No1 (dB)","BER1",
14 Sep 2023 04:35:57.224,30.000,0.0000,30.000,184.0019,14.500326,-154.002,-109.318828,20.000000,94.597266,32000.000,19.5458,22.5561,1.000000e-30,
14 Sep 2023 04:36:02.000,30.000,0.0000,30.000,183.8941,14.500326,-153.894,-109.211068,20.000000,94.705026,32000.000,19.6535,22.6638,1.000000e-30,
14 Sep 2023 04:36:07.000,30.000,0.0000,30.000,183.7799,14.500326,-153.780,-109.096808,20.000000,94.819286,32000.000,19.7678,22.7781,1.000000e-30,
14 Sep 2023 04:36:12.000,30.000,0.0000,30.000,183.6641,14.500326,-153.664,-108.981040,20.000000,94.935054,32000.000,19.8836,22.8939,1.000000e-30,
14 Sep 2023 04:36:17.000,30.000,0.0000,30.000,183.5468,14.500326,-153.547,-108.863727,20.000000,95.052367,32000.000,20.0009,23.0112,1.000000e-30,
14 Sep 2023 04:36:22.000,30.000,0.0000,30.000,183.4279,14.500325,-153.428,-108.744832,20.000000,95.171262,32000.000,20.1198,23.1301,1.000000e-30,
14 Sep 2023 04:36:27.000,30.000,0.0000,30.000,183.3074,14.500325,-153.307,-108.624316,20.000000,95.291778,32000.000,20.2403,23.2506,1.000000e-30,
14 Sep 2023 04:36:32.000,30.000,0.0000,30.000,183.1852,14.500325,-153.185,-108.502138,20.000000,95.413956,32000.000,20.3625,23.3728,1.000000e-30,
14 Sep 2023 04:36:37.000,30.000,0.0000,30.000,183.0613,14.500325,-153.061,-108.378256,20.000000,95.537838,32000.000,20.4863,23.4966,1.000000e-30,
14 Sep 2023 04:36:42.000,30.000,0.0000,30.000,182.9357,14.500325,-152.936,-108.252628,20.000000,95.663466,32000.000,20.6120,23.6223,1.000000e-30,
14 Sep 2023 04:36:47.000,30.000,0.0000,30.000,182.8083,14.500325,-152.808,-108.125208,20.000000,95.790886,32000.000,20.7394,23.7497,1.000000e-30,
14 Sep 2023 04:36:52.000,30.000,0.0000,30.000,182.6790,14.500325,-152.679,-107.995950,20.000000,95.920144,32000.000,20.8686,23.8789,1.000000e-30,
14 Sep 2023 04:36:57.000,30.000,0.0000,30.000,182.5479,14.500325,-152.548,-107.864806,20.000000,96.051288,32000.000,20.9998,24.0101,1.000000e-30,
14 Sep 2023 04:37:02.000,30.000,0.0000,30.000,182.4148,14.500324,-152.415,-107.731726,20.000000,96.184368,32000.000,21.1329,24.1432,1.000000e-30,
14 Sep 2023 04:37:07.000,30.000,0.0000,30.000,182.2797,14.500324,-152.280,-107.596659,20.000000,96.319435,32000.000,21.2679,24.2782,1.000000e-30,
14 Sep 2023 04:37:12.000,30.000,0.0000,30.000,182.1426,14.500324,-152.143,-107.459551,20.000000,96.456543,32000.000,21.4050,24.4153,1.000000e-30,
14 Sep 2023 04:37:17.000,30.000,0.0000,30.000,182.0034,14.500324,-152.003,-107.320348,20.000000,96.595747,32000.000,21.5442,24.5545,1.000000e-30,
14 Sep 2023 04:37:22.000,30.000,0.0000,30.000,181.8620,14.500323,-151.862,-107.178991,20.000000,96.737104,32000.000,21.6856,24.6959,1.000000e-30,
14 Sep 2023 04:37:27.000,30.000,0.0000,30.000,181.7185,14.500323,-151.718,-107.035421,20.000000,96.880673,32000.000,21.8292,24.8395,1.000000e-30,
14 Sep 2023 04:37:32.000,30.000,0.0000,30.000,181.5726,14.500323,-151.573,-106.889578,20.000000,97.026516,32000.000,21.9750,24.9853,1.000000e-30,
14 Sep 2023 04:37:37.000,30.000,0.0000,30.000,181.4244,14.500322,-151.424,-106.741397,20.000000,97.174697,32000.000,22.1232,25.1335,1.000000e-30,
14 Sep 2023 04:37:42.000,30.000,0.0000,30.000,181.2739,14.500322,-151.274,-106.590813,20.000000,97.325281,32000.000,22.2738,25.2841,1.000000e-30,
14 Sep 2023 04:37:47.000,30.000,0.0000,30.000,181.1208,14.500322,-151.121,-106.437757,20.000000,97.478337,32000.000,22.4268,25.4371,1.000000e-30,
14 Sep 2023 04:37:52.000,30.000,0.0000,30.000,180.9652,14.500321,-150.965,-106.282159,20.000000,97.633935,32000.000,22.5824,25.5927,1.000000e-30,
14 Sep 2023 04:37:57.000,30.000,0.0000,30.000,180.8070,14.500321,-150.807,-106.123947,20.000000,97.792147,32000.000,22.7406,25.7509,1.000000e-30,
14 Sep 2023 04:38:02.000,30.000,0.0000,30.000,180.6461,14.500320,-150.646,-105.963044,20.000000,97.953050,32000.000,22.9016,25.9119,1.000000e-30,
14 Sep 2023 04:38:07.000,30.000,0.0000,30.000,180.4824,14.500320,-150.482,-105.799373,20.000000,98.116721,32000.000,23.0652,26.0755,1.000000e-30,
14 Sep 2023 04:38:12.000,30.000,0.0000,30.000,180.3159,14.500319,-150.316,-105.632854,20.000000,98.283240,32000.000,23.2317,26.2420,1.000000e-30,
14 Sep 2023 04:38:17.000,30.000,0.0000,30.000,180.1464,14.500319,-150.146,-105.463404,20.000000,98.452690,32000.000,23.4012,26.4115,1.000000e-30,
14 Sep 2023 04:38:22.000,30.000,0.0000,30.000,179.9740,14.500318,-149.974,-105.290938,20.000000,98.625156,32000.000,23.5737,26.5840,1.000000e-30,
14 Sep 2023 04:38:27.000,30.000,0.0000,30.000,179.7984,14.500317,-149.798,-105.115368,20.000000,98.800726,32000.000,23.7492,26.7595,1.000000e-30,
14 Sep 2023 04:38:32.000,30.000,0.0000,30.000,179.6196,14.500316,-149.620,-104.936605,20.000000,98.979489,32000.000,23.9280,26.9383,1.000000e-30,
14 Sep 2023 04:38:37.000,30.000,0.0000,30.000,179.4376,14.500316,-149.438,-104.754557,20.000000,99.161538,32000.000,24.1100,27.1203,1.000000e-30,
14 Sep 2023 04:38:42.000,30.000,0.0000,30.000,179.2522,14.500315,-149.252,-104.569129,20.000000,99.346965,32000.000,24.2955,27.3058,1.000000e-30,
14 Sep 2023 04:38:47.000,30.000,0.0000,30.000,179.0633,14.500314,-149.063,-104.380226,20.000000,99.535868,32000.000,24.4844,27.4947,1.000000e-30,
14 Sep 2023 04:38:52.000,30.000,0.0000,30.000,178.8708,14.500313,-148.871,-104.187753,20.000000,99.728342,32000.000,24.6768,27.6871,1.000000e-30,
14 Sep 2023 04:38:57.000,30.000,0.0000,30.000,178.6747,14.500311,-148.675,-103.991610,20.000000,99.924485,32000.000,24.8730,27.8833,1.000000e-30,
14 Sep 2023 04:39:02.000,30.000,0.0000,30.000,178.4747,14.500310,-148.475,-103.791700,20.000000,100.124394,32000.000,25.0729,28.0832,1.000000e-30,
14 Sep 2023 04:39:07.000,30.000,0.0000,30.000,178.2710,14.500309,-148.271,-103.587925,20.000000,100.328169,32000.000,25.2767,28.2870,1.000000e-30,
14 Sep 2023 04:39:12.000,30.000,0.0000,30.000,178.0632,14.500308,-148.063,-103.380190,20.000000,100.535904,32000.000,25.4844,28.4947,1.000000e-30,
14 Sep 2023 04:39:17.000,30.000,0.0000,30.000,177.8514,14.500306,-147.851,-103.168401,20.000000,100.747693,32000.000,25.6962,28.7065,1.000000e-30,
14 Sep 2023 04:39:22.000,30.000,0.0000,30.000,177.6355,14.500304,-147.636,-102.952468,20.000000,100.963627,32000.000,25.9121,28.9224,1.000000e-30,
14 Sep 2023 04:39:27.000,30.000,0.0000,30.000,177.4154,14.500303,-147.415,-102.732306,20.000000,101.183789,32000.000,26.1323,29.1426,1.000000e-30,
14 Sep 2023 04:39:32.000,30.000,0.0000,30.000,177.1909,14.500301,-147.191,-102.507839,20.000000,101.408255,32000.000,26.3568,29.3671,1.000000e-30,
14 Sep 2023 04:39:37.000,30.000,0.0000,30.000,176.9620,14.500298,-146.962,-102.279000,20.000000,101.637094,32000.000,26.5856,29.5959,1.000000e-30,
14 Sep 2023 04:39:42.000,30.000,0.0000,30.000,176.7288,14.500296,-146.729,-102.045737,20.000000,101.870357,32000.000,26.8189,29.8292,1.000000e-30,
14 Sep 2023 04:39:47.000,30.000,0.0000,30.000,176.4911,14.500294,-146.491,-101.808013,20.000000,102.108081,32000.000,27.0566,30.0669,1.000000e-30,
