"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 06:11:57.409,198.359,0.000,2194.448622
14 Sep 2023 06:12:02.000,198.331,0.298,2161.764069
14 Sep 2023 06:12:07.000,198.300,0.627,2126.172179
14 Sep 2023 06:12:12.000,198.267,0.962,2090.583927
14 Sep 2023 06:12:17.000,198.233,1.303,2055.000647
14 Sep 2023 06:12:22.000,198.197,1.651,2019.423742
14 Sep 2023 06:12:27.000,198.160,2.005,1983.854701
14 Sep 2023 06:12:32.000,198.121,2.367,1948.295098
14 Sep 2023 06:12:37.000,198.081,2.735,1912.746603
14 Sep 2023 06:12:42.000,198.039,3.112,1877.210991
14 Sep 2023 06:12:47.000,197.994,3.497,1841.690150
14 Sep 2023 06:12:52.000,197.948,3.891,1806.186095
14 Sep 2023 06:12:57.000,197.899,4.294,1770.700977
14 Sep 2023 06:13:02.000,197.849,4.708,1735.237100
14 Sep 2023 06:13:07.000,197.795,5.131,1699.796934
14 Sep 2023 06:13:12.000,197.739,5.566,1664.383135
14 Sep 2023 06:13:17.000,197.680,6.013,1628.998562
14 Sep 2023 06:13:22.000,197.618,6.473,1593.646303
14 Sep 2023 06:13:27.000,197.553,6.946,1558.329693
14 Sep 2023 06:13:32.000,197.484,7.434,1523.052350
14 Sep 2023 06:13:37.000,197.412,7.937,1487.818204
14 Sep 2023 06:13:42.000,197.335,8.457,1452.631534
14 Sep 2023 06:13:47.000,197.254,8.994,1417.497007
14 Sep 2023 06:13:52.000,197.168,9.551,1382.419732
14 Sep 2023 06:13:57.000,197.077,10.128,1347.405311
14 Sep 2023 06:14:02.000,196.980,10.728,1312.459904
14 Sep 2023 06:14:07.000,196.877,11.351,1277.590298
14 Sep 2023 06:14:12.000,196.767,12.000,1242.804000
14 Sep 2023 06:14:17.000,196.650,12.678,1208.109329
14 Sep 2023 06:14:22.000,196.524,13.386,1173.515528
14 Sep 2023 06:14:27.000,196.389,14.127,1139.032907
14 Sep 2023 06:14:32.000,196.245,14.904,1104.672986
14 Sep 2023 06:14:37.000,196.089,15.720,1070.448692
14 Sep 2023 06:14:42.000,195.922,16.580,1036.374564
14 Sep 2023 06:14:47.000,195.740,17.486,1002.467016
14 Sep 2023 06:14:52.000,195.543,18.445,968.744634
14 Sep 2023 06:14:57.000,195.328,19.461,935.228534
14 Sep 2023 06:15:02.000,195.094,20.539,901.942795
14 Sep 2023 06:15:07.000,194.837,21.688,868.914966
14 Sep 2023 06:15:12.000,194.555,22.913,836.176673
14 Sep 2023 06:15:17.000,194.243,24.224,803.764351
14 Sep 2023 06:15:22.000,193.896,25.631,771.720118
14 Sep 2023 06:15:27.000,193.510,27.144,740.092818
14 Sep 2023 06:15:32.000,193.075,28.775,708.939273
14 Sep 2023 06:15:37.000,192.585,30.538,678.325759
14 Sep 2023 06:15:42.000,192.026,32.448,648.329762
14 Sep 2023 06:15:47.000,191.384,34.523,619.042014
14 Sep 2023 06:15:52.000,190.640,36.781,590.568830
14 Sep 2023 06:15:57.000,189.768,39.242,563.034705
14 Sep 2023 06:16:02.000,188.733,41.926,536.585090
14 Sep 2023 06:16:07.000,187.486,44.852,511.389118
14 Sep 2023 06:16:12.000,185.957,48.038,487.641935
14 Sep 2023 06:16:17.000,184.041,51.494,465.566020
14 Sep 2023 06:16:22.000,181.579,55.220,445.410613
14 Sep 2023 06:16:27.000,178.315,59.195,427.448070
14 Sep 2023 06:16:32.000,173.818,63.360,411.965854
14 Sep 2023 06:16:37.000,167.338,67.594,399.253048
14 Sep 2023 06:16:42.000,157.543,71.656,389.581198
14 Sep 2023 06:16:47.000,142.333,75.070,383.180833
14 Sep 2023 06:16:52.000,120.209,77.015,380.217455
14 Sep 2023 06:16:57.000,95.121,76.684,380.771252
14 Sep 2023 06:17:02.000,74.844,74.242,384.826947
14 Sep 2023 06:17:07.000,61.366,70.591,392.275739
14 Sep 2023 06:17:12.000,52.665,66.458,402.929190
14 Sep 2023 06:17:17.000,46.835,62.237,416.541089
14 Sep 2023 06:17:22.000,42.737,58.129,432.831928
14 Sep 2023 06:17:27.000,39.729,54.233,451.511271
14 Sep 2023 06:17:32.000,37.439,50.593,472.295177
14 Sep 2023 06:17:37.000,35.644,47.225,494.917893
14 Sep 2023 06:17:42.000,34.202,44.123,519.138603
14 Sep 2023 06:17:47.000,33.021,41.277,544.742952
14 Sep 2023 06:17:52.000,32.036,38.666,571.544403
14 Sep 2023 06:17:57.000,31.204,36.272,599.381541
14 Sep 2023 06:18:02.000,30.492,34.075,628.115799
14 Sep 2023 06:18:07.000,29.877,32.054,657.628685
14 Sep 2023 06:18:12.000,29.340,30.192,687.819052
14 Sep 2023 06:18:17.000,28.868,28.472,718.600564
14 Sep 2023 06:18:22.000,28.450,26.880,749.899470
14 Sep 2023 06:18:27.000,28.077,25.402,781.652636
14 Sep 2023 06:18:32.000,27.743,24.027,813.805901
14 Sep 2023 06:18:37.000,27.442,22.744,846.312658
14 Sep 2023 06:18:42.000,27.169,21.544,879.132680
14 Sep 2023 06:18:47.000,26.922,20.419,912.231133
14 Sep 2023 06:18:52.000,26.696,19.361,945.577745
14 Sep 2023 06:18:57.000,26.490,18.364,979.146124
14 Sep 2023 06:19:02.000,26.300,17.422,1012.913173
14 Sep 2023 06:19:07.000,26.126,16.531,1046.858613
14 Sep 2023 06:19:12.000,25.965,15.686,1080.964584
14 Sep 2023 06:19:17.000,25.816,14.882,1115.215291
14 Sep 2023 06:19:22.000,25.678,14.117,1149.596729
14 Sep 2023 06:19:27.000,25.550,13.387,1184.096441
14 Sep 2023 06:19:32.000,25.430,12.689,1218.703303
14 Sep 2023 06:19:37.000,25.319,12.021,1253.407364
14 Sep 2023 06:19:42.000,25.215,11.380,1288.199682
14 Sep 2023 06:19:47.000,25.118,10.765,1323.072212
14 Sep 2023 06:19:52.000,25.027,10.173,1358.017688
14 Sep 2023 06:19:57.000,24.941,9.602,1393.029526
14 Sep 2023 06:20:02.000,24.861,9.052,1428.101756
14 Sep 2023 06:20:07.000,24.786,8.520,1463.228941
14 Sep 2023 06:20:12.000,24.715,8.006,1498.406118
14 Sep 2023 06:20:17.000,24.649,7.508,1533.628749
14 Sep 2023 06:20:22.000,24.586,7.025,1568.892675
14 Sep 2023 06:20:27.000,24.527,6.557,1604.194072
14 Sep 2023 06:20:32.000,24.471,6.102,1639.529416
14 Sep 2023 06:20:37.000,24.419,5.659,1674.895456
14 Sep 2023 06:20:42.000,24.369,5.228,1710.289184
14 Sep 2023 06:20:47.000,24.322,4.807,1745.707810
14 Sep 2023 06:20:52.000,24.278,4.398,1781.148745
14 Sep 2023 06:20:57.000,24.236,3.998,1816.609573
14 Sep 2023 06:21:02.000,24.196,3.607,1852.088046
14 Sep 2023 06:21:07.000,24.158,3.224,1887.582061
14 Sep 2023 06:21:12.000,24.123,2.851,1923.089648
14 Sep 2023 06:21:17.000,24.089,2.484,1958.608961
14 Sep 2023 06:21:22.000,24.058,2.125,1994.138265
14 Sep 2023 06:21:27.000,24.028,1.774,2029.675922
14 Sep 2023 06:21:32.000,23.999,1.428,2065.220393
14 Sep 2023 06:21:37.000,23.972,1.089,2100.770221
14 Sep 2023 06:21:42.000,23.947,0.756,2136.324029
14 Sep 2023 06:21:47.000,23.923,0.429,2171.880509
14 Sep 2023 06:21:52.000,23.900,0.107,2207.438423
14 Sep 2023 06:21:53.680,23.893,0.000,2219.382614
14 Sep 2023 07:48:36.086,272.653,0.000,2207.452101
14 Sep 2023 07:48:41.000,273.481,0.164,2189.500376
14 Sep 2023 07:48:46.000,274.337,0.328,2171.649744
14 Sep 2023 07:48:51.000,275.207,0.489,2154.228023
14 Sep 2023 07:48:56.000,276.090,0.648,2137.246136
14 Sep 2023 07:49:01.000,276.988,0.804,2120.715061
14 Sep 2023 07:49:06.000,277.899,0.957,2104.645830
14 Sep 2023 07:49:11.000,278.824,1.107,2089.049480
14 Sep 2023 07:49:16.000,279.763,1.253,2073.937060
14 Sep 2023 07:49:21.000,280.715,1.395,2059.319574
14 Sep 2023 07:49:26.000,281.680,1.534,2045.207975
14 Sep 2023 07:49:31.000,282.658,1.669,2031.613129
14 Sep 2023 07:49:36.000,283.650,1.799,2018.545775
14 Sep 2023 07:49:41.000,284.653,1.925,2006.016519
14 Sep 2023 07:49:46.000,285.670,2.047,1994.035768
14 Sep 2023 07:49:51.000,286.698,2.164,1982.613720
14 Sep 2023 07:49:56.000,287.738,2.275,1971.760319
14 Sep 2023 07:50:01.000,288.789,2.382,1961.485223
14 Sep 2023 07:50:06.000,289.851,2.483,1951.797759
14 Sep 2023 07:50:11.000,290.923,2.578,1942.706893
14 Sep 2023 07:50:16.000,292.005,2.668,1934.221207
14 Sep 2023 07:50:21.000,293.096,2.752,1926.348828
14 Sep 2023 07:50:26.000,294.195,2.830,1919.097426
14 Sep 2023 07:50:31.000,295.303,2.901,1912.474171
14 Sep 2023 07:50:36.000,296.418,2.966,1906.485684
14 Sep 2023 07:50:41.000,297.540,3.025,1901.138027
14 Sep 2023 07:50:46.000,298.668,3.076,1896.436659
14 Sep 2023 07:50:51.000,299.801,3.121,1892.386422
14 Sep 2023 07:50:56.000,300.938,3.160,1888.991501
14 Sep 2023 07:51:01.000,302.080,3.191,1886.255412
14 Sep 2023 07:51:06.000,303.224,3.215,1884.180986
14 Sep 2023 07:51:11.000,304.370,3.232,1882.770348
14 Sep 2023 07:51:16.000,305.518,3.242,1882.024912
14 Sep 2023 07:51:21.000,306.666,3.245,1881.945363
14 Sep 2023 07:51:26.000,307.814,3.240,1882.531662
14 Sep 2023 07:51:31.000,308.960,3.229,1883.783046
14 Sep 2023 07:51:36.000,310.105,3.210,1885.698029
14 Sep 2023 07:51:41.000,311.247,3.185,1888.274404
14 Sep 2023 07:51:46.000,312.386,3.152,1891.509272
14 Sep 2023 07:51:51.000,313.520,3.113,1895.399033
14 Sep 2023 07:51:56.000,314.649,3.067,1899.939427
14 Sep 2023 07:52:01.000,315.772,3.014,1905.125537
14 Sep 2023 07:52:06.000,316.889,2.954,1910.951822
14 Sep 2023 07:52:11.000,317.999,2.888,1917.412151
14 Sep 2023 07:52:16.000,319.100,2.815,1924.499821
14 Sep 2023 07:52:21.000,320.194,2.737,1932.207585
14 Sep 2023 07:52:26.000,321.278,2.652,1940.527703
14 Sep 2023 07:52:31.000,322.353,2.562,1949.451960
14 Sep 2023 07:52:36.000,323.417,2.466,1958.971709
14 Sep 2023 07:52:41.000,324.471,2.365,1969.077903
14 Sep 2023 07:52:46.000,325.514,2.258,1979.761139
14 Sep 2023 07:52:51.000,326.545,2.146,1991.011683
14 Sep 2023 07:52:56.000,327.565,2.029,2002.819631
14 Sep 2023 07:53:01.000,328.572,1.908,2015.174494
14 Sep 2023 07:53:06.000,329.567,1.782,2028.065890
14 Sep 2023 07:53:11.000,330.549,1.652,2041.483153
14 Sep 2023 07:53:16.000,331.518,1.518,2055.415461
14 Sep 2023 07:53:21.000,332.474,1.380,2069.851882
14 Sep 2023 07:53:26.000,333.417,1.238,2084.781394
14 Sep 2023 07:53:31.000,334.346,1.093,2100.192919
