"Time (UTCG)","Xmtr Power1 (dBW)","Xmtr Gain1 (dB)","EIRP1 (dBW)","Prop Loss1 (dB)","Rcvd. Frequency1 (GHz)","Rcvd. Iso. Power1 (dBW)","Flux Density1 (dBW/m^2)","g/T1 (dB/K)","C/No1 (dB*Hz)","Bandwidth1 (kHz)","C/N1 (dB)","Eb/No1 (dB)","BER1",
14 Sep 2023 06:11:57.409,30.000,0.0000,30.000,182.5017,14.500344,-152.502,-107.818607,20.000000,96.097487,32000.000,21.0460,24.0563,1.000000e-30,
14 Sep 2023 06:12:02.000,30.000,0.0000,30.000,182.3713,14.500344,-152.371,-107.688265,20.000000,96.227830,32000.000,21.1763,24.1866,1.000000e-30,
14 Sep 2023 06:12:07.000,30.000,0.0000,30.000,182.2271,14.500344,-152.227,-107.544067,20.000000,96.372027,32000.000,21.3205,24.3308,1.000000e-30,
14 Sep 2023 06:12:12.000,30.000,0.0000,30.000,182.0805,14.500344,-152.080,-107.397451,20.000000,96.518643,32000.000,21.4671,24.4774,1.000000e-30,
14 Sep 2023 06:12:17.000,30.000,0.0000,30.000,181.9314,14.500344,-151.931,-107.248338,20.000000,96.667756,32000.000,21.6163,24.6266,1.000000e-30,
14 Sep 2023 06:12:22.000,30.000,0.0000,30.000,181.7797,14.500344,-151.780,-107.096648,20.000000,96.819446,32000.000,21.7679,24.7782,1.000000e-30,
14 Sep 2023 06:12:27.000,30.000,0.0000,30.000,181.6253,14.500344,-151.625,-106.942296,20.000000,96.973798,32000.000,21.9223,24.9326,1.000000e-30,
14 Sep 2023 06:12:32.000,30.000,0.0000,30.000,181.4682,14.500344,-151.468,-106.785193,20.000000,97.130901,32000.000,22.0794,25.0897,1.000000e-30,
14 Sep 2023 06:12:37.000,30.000,0.0000,30.000,181.3083,14.500344,-151.308,-106.625247,20.000000,97.290847,32000.000,22.2393,25.2496,1.000000e-30,
14 Sep 2023 06:12:42.000,30.000,0.0000,30.000,181.1454,14.500344,-151.145,-106.462360,20.000000,97.453734,32000.000,22.4022,25.4125,1.000000e-30,
14 Sep 2023 06:12:47.000,30.000,0.0000,30.000,180.9795,14.500344,-150.979,-106.296430,20.000000,97.619664,32000.000,22.5682,25.5785,1.000000e-30,
14 Sep 2023 06:12:52.000,30.000,0.0000,30.000,180.8104,14.500343,-150.810,-106.127349,20.000000,97.788746,32000.000,22.7372,25.7475,1.000000e-30,
14 Sep 2023 06:12:57.000,30.000,0.0000,30.000,180.6380,14.500343,-150.638,-105.955003,20.000000,97.961091,32000.000,22.9096,25.9199,1.000000e-30,
14 Sep 2023 06:13:02.000,30.000,0.0000,30.000,180.4623,14.500343,-150.462,-105.779275,20.000000,98.136819,32000.000,23.0853,26.0956,1.000000e-30,
14 Sep 2023 06:13:07.000,30.000,0.0000,30.000,180.2831,14.500343,-150.283,-105.600039,20.000000,98.316055,32000.000,23.2646,26.2749,1.000000e-30,
14 Sep 2023 06:13:12.000,30.000,0.0000,30.000,180.1002,14.500342,-150.100,-105.417165,20.000000,98.498929,32000.000,23.4474,26.4577,1.000000e-30,
14 Sep 2023 06:13:17.000,30.000,0.0000,30.000,179.9136,14.500342,-149.914,-105.230513,20.000000,98.685582,32000.000,23.6341,26.6444,1.000000e-30,
14 Sep 2023 06:13:22.000,30.000,0.0000,30.000,179.7230,14.500342,-149.723,-105.039937,20.000000,98.876157,32000.000,23.8247,26.8350,1.000000e-30,
14 Sep 2023 06:13:27.000,30.000,0.0000,30.000,179.5283,14.500341,-149.528,-104.845286,20.000000,99.070809,32000.000,24.0193,27.0296,1.000000e-30,
14 Sep 2023 06:13:32.000,30.000,0.0000,30.000,179.3294,14.500341,-149.329,-104.646395,20.000000,99.269699,32000.000,24.2182,27.2285,1.000000e-30,
14 Sep 2023 06:13:37.000,30.000,0.0000,30.000,179.1261,14.500341,-149.126,-104.443096,20.000000,99.472998,32000.000,24.4215,27.4318,1.000000e-30,
14 Sep 2023 06:13:42.000,30.000,0.0000,30.000,178.9183,14.500340,-148.918,-104.235208,20.000000,99.680886,32000.000,24.6294,27.6397,1.000000e-30,
14 Sep 2023 06:13:47.000,30.000,0.0000,30.000,178.7056,14.500340,-148.706,-104.022542,20.000000,99.893553,32000.000,24.8421,27.8524,1.000000e-30,
14 Sep 2023 06:13:52.000,30.000,0.0000,30.000,178.4879,14.500339,-148.488,-103.804897,20.000000,100.111197,32000.000,25.0597,28.0700,1.000000e-30,
14 Sep 2023 06:13:57.000,30.000,0.0000,30.000,178.2651,14.500338,-148.265,-103.582064,20.000000,100.334031,32000.000,25.2825,28.2928,1.000000e-30,
14 Sep 2023 06:14:02.000,30.000,0.0000,30.000,178.0369,14.500338,-148.037,-103.353820,20.000000,100.562275,32000.000,25.5108,28.5211,1.000000e-30,
14 Sep 2023 06:14:07.000,30.000,0.0000,30.000,177.8030,14.500337,-147.803,-103.119931,20.000000,100.796163,32000.000,25.7447,28.7550,1.000000e-30,
14 Sep 2023 06:14:12.000,30.000,0.0000,30.000,177.5632,14.500336,-147.563,-102.880151,20.000000,101.035943,32000.000,25.9844,28.9947,1.000000e-30,
14 Sep 2023 06:14:17.000,30.000,0.0000,30.000,177.3173,14.500335,-147.317,-102.634223,20.000000,101.281871,32000.000,26.2304,29.2407,1.000000e-30,
14 Sep 2023 06:14:22.000,30.000,0.0000,30.000,177.0649,14.500334,-147.065,-102.381875,20.000000,101.534219,32000.000,26.4827,29.4930,1.000000e-30,
14 Sep 2023 06:14:27.000,30.000,0.0000,30.000,176.8059,14.500333,-146.806,-102.122824,20.000000,101.793270,32000.000,26.7418,29.7521,1.000000e-30,
14 Sep 2023 06:14:32.000,30.000,0.0000,30.000,176.5398,14.500332,-146.540,-101.856773,20.000000,102.059321,32000.000,27.0078,30.0181,1.000000e-30,
14 Sep 2023 06:14:37.000,30.000,0.0000,30.000,176.2665,14.500330,-146.266,-101.583416,20.000000,102.332678,32000.000,27.2812,30.2915,1.000000e-30,
14 Sep 2023 06:14:42.000,30.000,0.0000,30.000,175.9855,14.500329,-145.985,-101.302434,20.000000,102.613661,32000.000,27.5622,30.5725,1.000000e-30,
14 Sep 2023 06:14:47.000,30.000,0.0000,30.000,175.6965,14.500327,-145.697,-101.013500,20.000000,102.902594,32000.000,27.8511,30.8614,1.000000e-30,
14 Sep 2023 06:14:52.000,30.000,0.0000,30.000,175.3993,14.500325,-145.399,-100.716285,20.000000,103.199809,32000.000,28.1483,31.1586,1.000000e-30,
14 Sep 2023 06:14:57.000,30.000,0.0000,30.000,175.0935,14.500323,-145.093,-100.410454,20.000000,103.505641,32000.000,28.4541,31.4644,1.000000e-30,
14 Sep 2023 06:15:02.000,30.000,0.0000,30.000,174.7787,14.500321,-144.779,-100.095679,20.000000,103.820416,32000.000,28.7689,31.7792,1.000000e-30,
14 Sep 2023 06:15:07.000,30.000,0.0000,30.000,174.4547,14.500318,-144.455,-99.771644,20.000000,104.144450,32000.000,29.0930,32.1033,1.000000e-30,
