"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 04:50:14.113,284.877,0.000,2984.442330
14 Sep 2023 04:50:19.000,285.323,0.249,2960.855017
14 Sep 2023 04:50:24.000,285.786,0.505,2936.880742
14 Sep 2023 04:50:29.000,286.256,0.762,2913.072897
14 Sep 2023 04:50:34.000,286.734,1.019,2889.435884
14 Sep 2023 04:50:39.000,287.220,1.278,2865.974209
14 Sep 2023 04:50:44.000,287.714,1.538,2842.692485
14 Sep 2023 04:50:49.000,288.215,1.798,2819.595431
14 Sep 2023 04:50:54.000,288.725,2.059,2796.687880
14 Sep 2023 04:50:59.000,289.243,2.321,2773.974766
14 Sep 2023 04:51:04.000,289.770,2.583,2751.461147
14 Sep 2023 04:51:09.000,290.305,2.847,2729.152182
14 Sep 2023 04:51:14.000,290.849,3.111,2707.053157
14 Sep 2023 04:51:19.000,291.402,3.375,2685.169456
14 Sep 2023 04:51:24.000,291.964,3.640,2663.506596
14 Sep 2023 04:51:29.000,292.535,3.906,2642.070195
14 Sep 2023 04:51:34.000,293.116,4.172,2620.865992
14 Sep 2023 04:51:39.000,293.706,4.438,2599.899841
14 Sep 2023 04:51:44.000,294.306,4.705,2579.177708
14 Sep 2023 04:51:49.000,294.915,4.972,2558.705673
14 Sep 2023 04:51:54.000,295.535,5.238,2538.489931
14 Sep 2023 04:51:59.000,296.165,5.505,2518.536783
14 Sep 2023 04:52:04.000,296.805,5.772,2498.852646
14 Sep 2023 04:52:09.000,297.456,6.039,2479.444030
14 Sep 2023 04:52:14.000,298.117,6.305,2460.317561
14 Sep 2023 04:52:19.000,298.789,6.571,2441.479958
14 Sep 2023 04:52:24.000,299.472,6.836,2422.938032
14 Sep 2023 04:52:29.000,300.166,7.100,2404.698697
14 Sep 2023 04:52:34.000,300.871,7.364,2386.768943
14 Sep 2023 04:52:39.000,301.587,7.627,2369.155842
14 Sep 2023 04:52:44.000,302.314,7.889,2351.866543
14 Sep 2023 04:52:49.000,303.052,8.149,2334.908262
14 Sep 2023 04:52:54.000,303.802,8.408,2318.288267
14 Sep 2023 04:52:59.000,304.564,8.665,2302.013890
14 Sep 2023 04:53:04.000,305.337,8.921,2286.092491
14 Sep 2023 04:53:09.000,306.121,9.174,2270.531475
14 Sep 2023 04:53:14.000,306.918,9.426,2255.338260
14 Sep 2023 04:53:19.000,307.725,9.675,2240.520277
14 Sep 2023 04:53:24.000,308.545,9.921,2226.084956
14 Sep 2023 04:53:29.000,309.375,10.164,2212.039713
14 Sep 2023 04:53:34.000,310.218,10.405,2198.391937
14 Sep 2023 04:53:39.000,311.072,10.642,2185.148969
14 Sep 2023 04:53:44.000,311.937,10.875,2172.318104
14 Sep 2023 04:53:49.000,312.813,11.105,2159.906555
14 Sep 2023 04:53:54.000,313.701,11.331,2147.921449
14 Sep 2023 04:53:59.000,314.599,11.553,2136.369816
14 Sep 2023 04:54:04.000,315.508,11.770,2125.258551
14 Sep 2023 04:54:09.000,316.428,11.982,2114.594418
14 Sep 2023 04:54:14.000,317.358,12.189,2104.384023
14 Sep 2023 04:54:19.000,318.299,12.391,2094.633791
14 Sep 2023 04:54:24.000,319.249,12.587,2085.349962
14 Sep 2023 04:54:29.000,320.208,12.778,2076.538555
14 Sep 2023 04:54:34.000,321.177,12.962,2068.205362
14 Sep 2023 04:54:39.000,322.155,13.140,2060.355927
14 Sep 2023 04:54:44.000,323.141,13.312,2052.995523
14 Sep 2023 04:54:49.000,324.135,13.476,2046.129144
14 Sep 2023 04:54:54.000,325.137,13.634,2039.761475
14 Sep 2023 04:54:59.000,326.147,13.785,2033.896892
14 Sep 2023 04:55:04.000,327.162,13.928,2028.539431
14 Sep 2023 04:55:09.000,328.184,14.063,2023.692777
14 Sep 2023 04:55:14.000,329.212,14.190,2019.360258
14 Sep 2023 04:55:19.000,330.245,14.310,2015.544826
14 Sep 2023 04:55:24.000,331.283,14.421,2012.249041
14 Sep 2023 04:55:29.000,332.324,14.524,2009.475070
14 Sep 2023 04:55:34.000,333.369,14.618,2007.224674
14 Sep 2023 04:55:39.000,334.417,14.703,2005.499198
14 Sep 2023 04:55:44.000,335.467,14.780,2004.299571
14 Sep 2023 04:55:49.000,336.519,14.848,2003.626295
14 Sep 2023 04:55:54.000,337.572,14.908,2003.479451
14 Sep 2023 04:55:59.000,338.625,14.958,2003.858688
14 Sep 2023 04:56:04.000,339.678,14.999,2004.763234
