"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 15:28:32.852,134.371,0.000,2711.867030
14 Sep 2023 15:28:37.000,133.754,0.069,2704.379633
14 Sep 2023 15:28:42.000,133.007,0.148,2695.715246
14 Sep 2023 15:28:47.000,132.254,0.224,2687.449480
14 Sep 2023 15:28:52.000,131.498,0.297,2679.586348
14 Sep 2023 15:28:57.000,130.736,0.366,2672.129725
14 Sep 2023 15:29:02.000,129.971,0.432,2665.083320
14 Sep 2023 15:29:07.000,129.202,0.494,2658.450692
14 Sep 2023 15:29:12.000,128.428,0.553,2652.235221
14 Sep 2023 15:29:17.000,127.652,0.607,2646.440117
14 Sep 2023 15:29:22.000,126.871,0.658,2641.068403
14 Sep 2023 15:29:27.000,126.088,0.705,2636.122908
14 Sep 2023 15:29:32.000,125.302,0.749,2631.606274
14 Sep 2023 15:29:37.000,124.514,0.788,2627.520926
14 Sep 2023 15:29:42.000,123.722,0.823,2623.869092
14 Sep 2023 15:29:47.000,122.929,0.855,2620.652774
14 Sep 2023 15:29:52.000,122.134,0.882,2617.873761
14 Sep 2023 15:29:57.000,121.338,0.905,2615.533619
14 Sep 2023 15:30:02.000,120.540,0.924,2613.633680
14 Sep 2023 15:30:07.000,119.741,0.939,2612.175057
14 Sep 2023 15:30:12.000,118.941,0.950,2611.158615
14 Sep 2023 15:30:17.000,118.141,0.957,2610.584996
14 Sep 2023 15:30:22.000,117.340,0.960,2610.454593
14 Sep 2023 15:30:27.000,116.540,0.958,2610.767569
14 Sep 2023 15:30:32.000,115.740,0.952,2611.523846
14 Sep 2023 15:30:37.000,114.940,0.943,2612.723104
14 Sep 2023 15:30:42.000,114.142,0.929,2614.364797
14 Sep 2023 15:30:47.000,113.344,0.911,2616.448128
14 Sep 2023 15:30:52.000,112.548,0.888,2618.972076
14 Sep 2023 15:30:57.000,111.754,0.862,2621.935386
14 Sep 2023 15:31:02.000,110.962,0.832,2625.336576
14 Sep 2023 15:31:07.000,110.172,0.798,2629.173938
14 Sep 2023 15:31:12.000,109.384,0.759,2633.445544
14 Sep 2023 15:31:17.000,108.599,0.717,2638.149250
14 Sep 2023 15:31:22.000,107.817,0.671,2643.282708
14 Sep 2023 15:31:27.000,107.038,0.621,2648.843356
14 Sep 2023 15:31:32.000,106.263,0.567,2654.828442
14 Sep 2023 15:31:37.000,105.491,0.510,2661.235019
14 Sep 2023 15:31:42.000,104.724,0.449,2668.059955
14 Sep 2023 15:31:47.000,103.960,0.384,2675.299939
14 Sep 2023 15:31:52.000,103.201,0.316,2682.951496
14 Sep 2023 15:31:57.000,102.446,0.244,2691.010978
14 Sep 2023 15:32:02.000,101.696,0.168,2699.474592
14 Sep 2023 15:32:07.000,100.950,0.090,2708.338395
14 Sep 2023 15:32:12.000,100.210,0.008,2717.598299
14 Sep 2023 15:32:12.449,100.144,0.000,2718.449150
14 Sep 2023 17:02:56.494,205.945,0.000,2709.224868
14 Sep 2023 17:03:01.000,205.785,0.267,2679.802524
14 Sep 2023 17:03:06.000,205.602,0.566,2647.180197
14 Sep 2023 17:03:11.000,205.414,0.869,2614.584689
14 Sep 2023 17:03:16.000,205.222,1.176,2582.017963
14 Sep 2023 17:03:21.000,205.025,1.486,2549.482069
14 Sep 2023 17:03:26.000,204.822,1.801,2516.979151
14 Sep 2023 17:03:31.000,204.614,2.120,2484.511444
14 Sep 2023 17:03:36.000,204.400,2.442,2452.081296
14 Sep 2023 17:03:41.000,204.180,2.770,2419.691159
14 Sep 2023 17:03:46.000,203.953,3.102,2387.343606
14 Sep 2023 17:03:51.000,203.721,3.438,2355.041335
14 Sep 2023 17:03:56.000,203.481,3.780,2322.787175
14 Sep 2023 17:04:01.000,203.234,4.126,2290.584100
14 Sep 2023 17:04:06.000,202.980,4.478,2258.435235
14 Sep 2023 17:04:11.000,202.718,4.836,2226.343868
14 Sep 2023 17:04:16.000,202.448,5.199,2194.313456
14 Sep 2023 17:04:21.000,202.170,5.568,2162.347644
14 Sep 2023 17:04:26.000,201.882,5.944,2130.450277
14 Sep 2023 17:04:31.000,201.585,6.325,2098.625405
14 Sep 2023 17:04:36.000,201.279,6.714,2066.877309
14 Sep 2023 17:04:41.000,200.962,7.109,2035.210513
14 Sep 2023 17:04:46.000,200.634,7.512,2003.629797
14 Sep 2023 17:04:51.000,200.295,7.922,1972.140223
14 Sep 2023 17:04:56.000,199.944,8.340,1940.747148
14 Sep 2023 17:05:01.000,199.581,8.766,1909.456257
14 Sep 2023 17:05:06.000,199.204,9.200,1878.273570
14 Sep 2023 17:05:11.000,198.813,9.643,1847.205487
14 Sep 2023 17:05:16.000,198.408,10.096,1816.258801
14 Sep 2023 17:05:21.000,197.987,10.558,1785.440731
14 Sep 2023 17:05:26.000,197.550,11.029,1754.758964
14 Sep 2023 17:05:31.000,197.095,11.511,1724.221679
14 Sep 2023 17:05:36.000,196.623,12.004,1693.837588
14 Sep 2023 17:05:41.000,196.131,12.508,1663.615983
14 Sep 2023 17:05:46.000,195.618,13.023,1633.566770
14 Sep 2023 17:05:51.000,195.084,13.551,1603.700531
14 Sep 2023 17:05:56.000,194.526,14.091,1574.028562
14 Sep 2023 17:06:01.000,193.945,14.643,1544.562936
14 Sep 2023 17:06:06.000,193.337,15.209,1515.316562
14 Sep 2023 17:06:11.000,192.701,15.789,1486.303249
14 Sep 2023 17:06:16.000,192.036,16.383,1457.537776
