"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
14 Sep 2023 05:26:45.080,316.661,0.000,2714.233494
14 Sep 2023 05:26:50.000,317.291,0.167,2695.779221
14 Sep 2023 05:26:55.000,317.939,0.335,2677.297488
14 Sep 2023 05:27:00.000,318.596,0.502,2659.095528
14 Sep 2023 05:27:05.000,319.262,0.667,2641.179601
14 Sep 2023 05:27:10.000,319.937,0.830,2623.556034
14 Sep 2023 05:27:15.000,320.621,0.992,2606.231217
14 Sep 2023 05:27:20.000,321.313,1.153,2589.211598
14 Sep 2023 05:27:25.000,322.015,1.311,2572.503680
14 Sep 2023 05:27:30.000,322.725,1.468,2556.114005
14 Sep 2023 05:27:35.000,323.444,1.622,2540.049163
14 Sep 2023 05:27:40.000,324.173,1.774,2524.315770
14 Sep 2023 05:27:45.000,324.910,1.924,2508.920468
14 Sep 2023 05:27:50.000,325.656,2.072,2493.869922
14 Sep 2023 05:27:55.000,326.411,2.217,2479.170797
14 Sep 2023 05:28:00.000,327.175,2.359,2464.829760
14 Sep 2023 05:28:05.000,327.948,2.499,2450.853469
14 Sep 2023 05:28:10.000,328.729,2.636,2437.248557
14 Sep 2023 05:28:15.000,329.519,2.770,2424.021629
14 Sep 2023 05:28:20.000,330.318,2.901,2411.179243
14 Sep 2023 05:28:25.000,331.124,3.029,2398.727909
14 Sep 2023 05:28:30.000,331.940,3.153,2386.674063
14 Sep 2023 05:28:35.000,332.763,3.274,2375.024068
14 Sep 2023 05:28:40.000,333.594,3.391,2363.784190
14 Sep 2023 05:28:45.000,334.434,3.505,2352.960597
14 Sep 2023 05:28:50.000,335.280,3.614,2342.559329
14 Sep 2023 05:28:55.000,336.135,3.720,2332.586304
14 Sep 2023 05:29:00.000,336.996,3.822,2323.047287
14 Sep 2023 05:29:05.000,337.865,3.919,2313.947889
14 Sep 2023 05:29:10.000,338.740,4.012,2305.293542
14 Sep 2023 05:29:15.000,339.621,4.101,2297.089495
14 Sep 2023 05:29:20.000,340.509,4.185,2289.340795
14 Sep 2023 05:29:25.000,341.403,4.264,2282.052270
14 Sep 2023 05:29:30.000,342.303,4.339,2275.228526
14 Sep 2023 05:29:35.000,343.207,4.409,2268.873923
14 Sep 2023 05:29:40.000,344.117,4.474,2262.992569
14 Sep 2023 05:29:45.000,345.031,4.534,2257.588306
14 Sep 2023 05:29:50.000,345.950,4.588,2252.664697
14 Sep 2023 05:29:55.000,346.872,4.638,2248.225018
14 Sep 2023 05:30:00.000,347.798,4.682,2244.272246
14 Sep 2023 05:30:05.000,348.727,4.720,2240.809048
14 Sep 2023 05:30:10.000,349.659,4.754,2237.837777
14 Sep 2023 05:30:15.000,350.593,4.782,2235.360459
14 Sep 2023 05:30:20.000,351.529,4.804,2233.378791
14 Sep 2023 05:30:25.000,352.466,4.821,2231.894133
14 Sep 2023 05:30:30.000,353.405,4.832,2230.907502
14 Sep 2023 05:30:35.000,354.344,4.838,2230.419573
14 Sep 2023 05:30:40.000,355.283,4.838,2230.430673
14 Sep 2023 05:30:45.000,356.222,4.833,2230.940780
14 Sep 2023 05:30:50.000,357.161,4.822,2231.949528
14 Sep 2023 05:30:55.000,358.098,4.805,2233.456199
14 Sep 2023 05:31:00.000,359.034,4.783,2235.459735
14 Sep 2023 05:31:05.000,359.968,4.755,2237.958736
14 Sep 2023 05:31:10.000,0.900,4.722,2240.951465
14 Sep 2023 05:31:15.000,1.829,4.684,2244.435855
14 Sep 2023 05:31:20.000,2.754,4.640,2248.409517
14 Sep 2023 05:31:25.000,3.677,4.591,2252.869743
14 Sep 2023 05:31:30.000,4.595,4.536,2257.813519
14 Sep 2023 05:31:35.000,5.509,4.477,2263.237535
14 Sep 2023 05:31:40.000,6.419,4.412,2269.138191
14 Sep 2023 05:31:45.000,7.323,4.343,2275.511611
14 Sep 2023 05:31:50.000,8.222,4.268,2282.353654
14 Sep 2023 05:31:55.000,9.116,4.189,2289.659928
14 Sep 2023 05:32:00.000,10.004,4.105,2297.425797
14 Sep 2023 05:32:05.000,10.885,4.017,2305.646403
14 Sep 2023 05:32:10.000,11.760,3.924,2314.316671
14 Sep 2023 05:32:15.000,12.628,3.827,2323.431327
14 Sep 2023 05:32:20.000,13.489,3.726,2332.984911
14 Sep 2023 05:32:25.000,14.343,3.620,2342.971790
14 Sep 2023 05:32:30.000,15.190,3.511,2353.386175
14 Sep 2023 05:32:35.000,16.029,3.398,2364.222130
14 Sep 2023 05:32:40.000,16.860,3.281,2375.473713
14 Sep 2023 05:32:45.000,17.683,3.160,2387.134502
14 Sep 2023 05:32:50.000,18.498,3.036,2399.198328
14 Sep 2023 05:32:55.000,19.304,2.909,2411.658815
14 Sep 2023 05:33:00.000,20.103,2.778,2424.509510
14 Sep 2023 05:33:05.000,20.892,2.645,2437.743891
14 Sep 2023 05:33:10.000,21.673,2.508,2451.355389
14 Sep 2023 05:33:15.000,22.446,2.369,2465.337387
14 Sep 2023 05:33:20.000,23.209,2.227,2479.683242
