"Time (UTCG)","Xmtr Power1 (dBW)","Xmtr Gain1 (dB)","EIRP1 (dBW)","Prop Loss1 (dB)","Rcvd. Frequency1 (GHz)","Rcvd. Iso. Power1 (dBW)","Flux Density1 (dBW/m^2)","g/T1 (dB/K)","C/No1 (dB*Hz)","Bandwidth1 (kHz)","C/N1 (dB)","Eb/No1 (dB)","BER1",
14 Sep 2023 05:26:45.080,30.000,0.0000,30.000,184.3481,14.500183,-154.348,-109.665043,20.000000,94.251051,32000.000,19.1996,22.2099,1.000000e-30,
14 Sep 2023 05:26:50.000,30.000,0.0000,30.000,184.2888,14.500180,-154.289,-109.605785,20.000000,94.310309,32000.000,19.2588,22.2691,1.000000e-30,
14 Sep 2023 05:26:55.000,30.000,0.0000,30.000,184.2291,14.500177,-154.229,-109.546031,20.000000,94.370063,32000.000,19.3186,22.3289,1.000000e-30,
14 Sep 2023 05:27:00.000,30.000,0.0000,30.000,184.1698,14.500175,-154.170,-109.486777,20.000000,94.429317,32000.000,19.3778,22.3881,1.000000e-30,
14 Sep 2023 05:27:05.000,30.000,0.0000,30.000,184.1111,14.500172,-154.111,-109.428057,20.000000,94.488037,32000.000,19.4365,22.4468,1.000000e-30,
14 Sep 2023 05:27:10.000,30.000,0.0000,30.000,184.0530,14.500169,-154.053,-109.369906,20.000000,94.546189,32000.000,19.4947,22.5050,1.000000e-30,
14 Sep 2023 05:27:15.000,30.000,0.0000,30.000,183.9954,14.500166,-153.995,-109.312357,20.000000,94.603737,32000.000,19.5522,22.5625,1.000000e-30,
14 Sep 2023 05:27:20.000,30.000,0.0000,30.000,183.9385,14.500163,-153.938,-109.255450,20.000000,94.660645,32000.000,19.6091,22.6194,1.000000e-30,
14 Sep 2023 05:27:25.000,30.000,0.0000,30.000,183.8823,14.500160,-153.882,-109.199219,20.000000,94.716876,32000.000,19.6654,22.6757,1.000000e-30,
14 Sep 2023 05:27:30.000,30.000,0.0000,30.000,183.8267,14.500157,-153.827,-109.143703,20.000000,94.772391,32000.000,19.7209,22.7312,1.000000e-30,
14 Sep 2023 05:27:35.000,30.000,0.0000,30.000,183.7720,14.500154,-153.772,-109.088941,20.000000,94.827153,32000.000,19.7757,22.7860,1.000000e-30,
