"Time (UTCG)","Xmtr Power1 (dBW)","Xmtr Gain1 (dB)","EIRP1 (dBW)","Prop Loss1 (dB)","Rcvd. Frequency1 (GHz)","Rcvd. Iso. Power1 (dBW)","Flux Density1 (dBW/m^2)","g/T1 (dB/K)","C/No1 (dB*Hz)","Bandwidth1 (kHz)","C/N1 (dB)","Eb/No1 (dB)","BER1",
14 Sep 2023 04:00:00.000,30.000,0.0000,30.000,179.3005,14.500295,-149.300,-104.617428,20.000000,99.298666,32000.000,24.2472,27.2575,1.000000e-30,
14 Sep 2023 04:00:05.000,30.000,0.0000,30.000,179.1248,14.500293,-149.125,-104.441715,20.000000,99.474380,32000.000,24.4229,27.4332,1.000000e-30,
14 Sep 2023 04:00:10.000,30.000,0.0000,30.000,178.9465,14.500291,-148.946,-104.263439,20.000000,99.652656,32000.000,24.6012,27.6115,1.000000e-30,
14 Sep 2023 04:00:15.000,30.000,0.0000,30.000,178.7656,14.500290,-148.766,-104.082589,20.000000,99.833505,32000.000,24.7820,27.7923,1.000000e-30,
14 Sep 2023 04:00:20.000,30.000,0.0000,30.000,178.5822,14.500287,-148.582,-103.899163,20.000000,100.016931,32000.000,24.9654,27.9757,1.000000e-30,
14 Sep 2023 04:00:25.000,30.000,0.0000,30.000,178.3962,14.500285,-148.396,-103.713167,20.000000,100.202928,32000.000,25.1514,28.1617,1.000000e-30,
14 Sep 2023 04:00:30.000,30.000,0.0000,30.000,178.2077,14.500283,-148.208,-103.524618,20.000000,100.391476,32000.000,25.3400,28.3503,1.000000e-30,
14 Sep 2023 04:00:35.000,30.000,0.0000,30.000,178.0166,14.500280,-148.017,-103.333547,20.000000,100.582548,32000.000,25.5310,28.5413,1.000000e-30,
14 Sep 2023 04:00:40.000,30.000,0.0000,30.000,177.8230,14.500278,-147.823,-103.139998,20.000000,100.776096,32000.000,25.7246,28.7349,1.000000e-30,
14 Sep 2023 04:00:45.000,30.000,0.0000,30.000,177.6271,14.500275,-147.627,-102.944036,20.000000,100.972058,32000.000,25.9206,28.9309,1.000000e-30,
14 Sep 2023 04:00:50.000,30.000,0.0000,30.000,177.4288,14.500272,-147.429,-102.745743,20.000000,101.170351,32000.000,26.1189,29.1292,1.000000e-30,
14 Sep 2023 04:00:55.000,30.000,0.0000,30.000,177.2283,14.500268,-147.228,-102.545226,20.000000,101.370868,32000.000,26.3194,29.3297,1.000000e-30,
14 Sep 2023 04:01:00.000,30.000,0.0000,30.000,177.0257,14.500265,-147.026,-102.342620,20.000000,101.573474,32000.000,26.5220,29.5323,1.000000e-30,
14 Sep 2023 04:01:05.000,30.000,0.0000,30.000,176.8211,14.500261,-146.821,-102.138090,20.000000,101.778004,32000.000,26.7265,29.7368,1.000000e-30,
14 Sep 2023 04:01:10.000,30.000,0.0000,30.000,176.6149,14.500257,-146.615,-101.931839,20.000000,101.984256,32000.000,26.9328,29.9431,1.000000e-30,
14 Sep 2023 04:01:15.000,30.000,0.0000,30.000,176.4072,14.500252,-146.407,-101.724108,20.000000,102.191987,32000.000,27.1405,30.1508,1.000000e-30,
14 Sep 2023 04:01:20.000,30.000,0.0000,30.000,176.1982,14.500248,-146.198,-101.515187,20.000000,102.400907,32000.000,27.3494,30.3597,1.000000e-30,
14 Sep 2023 04:01:25.000,30.000,0.0000,30.000,175.9885,14.500243,-145.988,-101.305418,20.000000,102.610676,32000.000,27.5592,30.5695,1.000000e-30,
14 Sep 2023 04:01:30.000,30.000,0.0000,30.000,175.7782,14.500237,-145.778,-101.095203,20.000000,102.820892,32000.000,27.7694,30.7797,1.000000e-30,
14 Sep 2023 04:01:35.000,30.000,0.0000,30.000,175.5681,14.500231,-145.568,-100.885007,20.000000,103.031088,32000.000,27.9796,30.9899,1.000000e-30,
14 Sep 2023 04:01:40.000,30.000,0.0000,30.000,175.3584,14.500225,-145.358,-100.675370,20.000000,103.240725,32000.000,28.1892,31.1995,1.000000e-30,
14 Sep 2023 04:01:45.000,30.000,0.0000,30.000,175.1500,14.500218,-145.150,-100.466911,20.000000,103.449183,32000.000,28.3977,31.4080,1.000000e-30,
14 Sep 2023 04:01:50.000,30.000,0.0000,30.000,174.9434,14.500210,-144.943,-100.260336,20.000000,103.655758,32000.000,28.6043,31.6146,1.000000e-30,
14 Sep 2023 04:01:55.000,30.000,0.0000,30.000,174.7395,14.500202,-144.739,-100.056442,20.000000,103.859652,32000.000,28.8082,31.8185,1.000000e-30,
